날짜,종가,시가,고가,저가,거래량,수정종가
2023-06-15,186.00999450683594,183.9600067138672,186.52000427246094,183.77999877929688,65433200,186.00999450683594
2023-06-16,184.9199981689453,186.72999572753906,186.99000549316406,184.27000427246094,101235600,184.9199981689453
2023-06-20,185.00999450683594,184.41000366210938,186.10000610351562,184.41000366210938,49799100,185.00999450683594
2023-06-21,183.9600067138672,184.89999389648438,185.41000366210938,182.58999633789062,49515700,183.9600067138672
2023-06-22,187.0,183.74000549316406,187.0500030517578,183.6699981689453,51245300,187.0
2023-06-23,186.67999267578125,185.5500030517578,187.55999755859375,185.00999450683594,53079300,186.67999267578125
2023-06-26,185.27000427246094,186.8300018310547,188.0500030517578,185.22999572753906,48088700,185.27000427246094
2023-06-27,188.05999755859375,185.88999938964844,188.38999938964844,185.6699981689453,50730800,188.05999755859375
2023-06-28,189.25,187.92999267578125,189.89999389648438,187.60000610351562,51216800,189.25
2023-06-29,189.58999633789062,189.0800018310547,190.07000732421875,188.94000244140625,46347300,189.58999633789062
2023-06-30,193.97000122070312,191.6300048828125,194.47999572753906,191.25999450683594,85069600,193.97000122070312
2023-07-03,192.4600067138672,193.77999877929688,193.8800048828125,191.75999450683594,31458200,192.4600067138672
2023-07-05,191.3300018310547,191.57000732421875,192.97999572753906,190.6199951171875,46920300,191.3300018310547
2023-07-06,191.80999755859375,189.83999633789062,192.02000427246094,189.1999969482422,45094300,191.80999755859375
2023-07-07,190.67999267578125,191.41000366210938,192.6699981689453,190.24000549316406,46778000,190.67999267578125
2023-07-10,188.61000061035156,189.25999450683594,189.99000549316406,187.0399932861328,59922200,188.61000061035156
2023-07-11,188.0800018310547,189.16000366210938,189.3000030517578,186.60000610351562,46638100,188.0800018310547
2023-07-12,189.77000427246094,189.67999267578125,191.6999969482422,188.47000122070312,60750200,189.77000427246094
2023-07-13,190.5399932861328,190.5,191.19000244140625,189.77999877929688,41342300,190.5399932861328
2023-07-14,190.69000244140625,190.22999572753906,191.17999267578125,189.6300048828125,41573900,190.69000244140625
